"日付","タイプ","コード","会社名","業種区分","業種RS","UDVR","UDVR.prev","UD判定","VOLUME","fwdPER","Price"
2025-08-06,buy sign(3),"TMUS","T-Mobile US, Inc.","Telecom Services",----,1.04,0.86,"*","","248.87"
2025-08-06,buy sign(3),"TMUS","T-Mobile US, Inc.","Telecom Services",----,1.04,0.86,"*","","248.87"
2025-08-06,buy sign(3),"TMUS","T-Mobile US, Inc.","Telecom Services",----,1.04,0.86,"*","","248.87"
2025-08-06,buy sign(3),"TMUS","T-Mobile US, Inc.","Telecom Services",----,1.04,0.86,"*","","248.87"
2025-08-08,double bottom2(6),"NWG","NatWest Group plc","Banks - Regional",----,1.3,1.26,"O","","14.4"
2025-08-06,buy sign(3),"TMUS","T-Mobile US, Inc.","Telecom Services",----,1.04,0.86,"*","","248.87"
2025-08-08,double bottom2(6),"NWG","NatWest Group plc","Banks - Regional",----,1.3,1.26,"O","","14.4"
2025-08-06,buy sign(3),"TMUS","T-Mobile US, Inc.","Telecom Services",----,1.04,0.86,"*","","248.87"
2025-08-08,double bottom2(6),"NWG","NatWest Group plc","Banks - Regional",----,1.3,1.26,"O","","14.4"
2025-08-06,buy sign(3),"TMUS","T-Mobile US, Inc.","Telecom Services",----,1.04,0.86,"*","","248.87"
2025-08-08,double bottom2(6),"NWG","NatWest Group plc","Banks - Regional",----,1.3,1.26,"O","","14.4"
2025-08-06,buy sign(3),"TMUS","T-Mobile US, Inc.","Telecom Services",----,1.04,0.86,"*","","248.87"
2025-08-08,double bottom2(6),"NWG","NatWest Group plc","Banks - Regional",----,1.3,1.26,"O","","14.4"
